probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
0,115,128,0,0.718750,0.111321,0.070386,0.086244,0.12,0.37,0,2
1,101,128,0,0.718750,0.152095,0.121364,0.091671,0.22,0.43,0,2
2,110,128,0,0.718750,0.107479,0.064199,0.086198,0.16,0.43,0,2
3,115,128,0,0.718750,0.151512,0.120937,0.091269,0.13,0.44,0,3
4,110,128,0,0.718750,0.214626,0.189511,0.100748,0.16,0.41,0,2
5,114,128,0,0.718750,0.103221,0.058867,0.084789,0.12,0.35,0,2
6,120,128,0,0.718750,0.187095,0.162132,0.093369,0.07,0.29,0,2
7,109,128,0,0.718750,0.178828,0.152528,0.093353,0.15,0.36,0,1
8,119,128,0,0.718750,0.119052,0.080931,0.087313,0.08,0.30,0,2
9,112,128,0,0.718750,0.642947,0.613394,0.192686,0.13,0.36,0,2
10,115,128,0,0.718750,0.199912,0.175654,0.095450,0.12,0.40,0,2
11,113,128,0,0.718750,0.102181,0.057438,0.084510,0.13,0.40,0,3
12,110,128,0,0.718750,0.164157,0.134450,0.094184,0.15,0.38,0,2
13,117,128,0,0.718750,0.631155,0.599918,0.196099,0.09,0.32,0,2
14,112,128,0,0.718750,0.111460,0.070985,0.085932,0.14,0.39,0,2
15,113,128,0,0.718750,0.127831,0.093040,0.087660,0.14,0.41,0,2
16,113,128,0,0.718750,0.122279,0.086543,0.086386,0.13,0.38,0,2
17,116,128,0,0.718750,0.246815,0.224092,0.103442,0.09,0.29,0,1
18,106,128,0,0.718750,0.229753,0.202387,0.108746,0.20,0.45,0,2
19,114,128,0,0.718750,0.214739,0.191881,0.096408,0.12,0.35,0,2
20,117,128,0,0.718750,0.210162,0.185617,0.098562,0.09,0.32,0,2
21,113,128,0,0.722656,0.162877,0.130484,0.097482,0.12,0.35,0,2
22,116,128,0,0.718750,0.242708,0.219099,0.104416,0.12,0.39,0,2
23,115,128,0,0.718750,0.097864,0.048629,0.084927,0.12,0.37,0,2
24,115,128,0,0.718750,0.098647,0.050586,0.084690,0.11,0.34,0,2
25,107,128,0,0.718750,0.656275,0.624298,0.202359,0.18,0.42,0,2
26,114,128,0,0.718750,0.113933,0.075097,0.085680,0.12,0.38,0,2
27,116,128,0,0.718750,0.113317,0.074298,0.085560,0.12,0.41,0,3
28,112,128,0,0.718750,0.212236,0.189089,0.096382,0.14,0.41,0,3
29,117,128,0,0.718750,0.220351,0.196241,0.100220,0.09,0.28,0,1
