probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
0,122,176,0,0.722656,0.262498,0.234182,0.118591,0.54,1.49,0,14
1,128,176,0,0.722656,0.382005,0.337629,0.178702,0.52,1.62,0,15
2,115,176,0,0.722656,0.264734,0.233078,0.125535,0.50,1.28,0,11
3,112,176,0,0.722656,0.351934,0.313896,0.159143,0.59,1.44,0,12
4,125,176,0,0.722656,0.283966,0.258306,0.117959,0.51,1.55,0,13
5,128,176,0,0.718750,0.363780,0.332324,0.147974,0.51,1.68,0,14
6,111,176,0,0.722656,0.288861,0.259526,0.126834,0.64,1.81,0,15
7,115,176,0,0.722656,0.315643,0.282350,0.141099,0.57,1.57,0,14
8,129,176,0,0.722656,0.232280,0.206947,0.105485,0.48,1.67,0,15
9,122,176,0,0.722656,0.581200,0.519094,0.261410,0.45,1.35,0,15
10,129,176,0,0.718750,0.415395,0.383319,0.160062,0.35,0.84,0,9
11,123,176,0,0.722656,0.396301,0.355943,0.174237,0.38,0.91,0,10
12,115,176,0,0.722656,0.395447,0.356618,0.170885,0.45,1.01,0,11
13,132,176,0,0.722656,0.221850,0.187528,0.118537,0.38,1.10,0,12
14,128,176,0,0.718750,0.536666,0.469997,0.259063,0.43,1.22,0,13
15,115,176,0,0.722656,0.353454,0.318034,0.154221,0.54,1.35,0,14
16,124,176,0,0.722656,0.303665,0.270555,0.137886,0.51,1.47,0,15
17,127,176,0,0.722656,0.374352,0.340268,0.156067,0.43,1.11,0,9
18,123,176,0,0.722656,0.328060,0.293803,0.145955,0.49,1.26,0,10
19,116,176,0,0.722656,0.463545,0.400059,0.234153,0.56,1.40,0,11
20,132,176,0,0.722656,0.273145,0.246343,0.117996,0.46,1.51,0,12
21,104,176,0,0.722656,0.341667,0.306004,0.151980,0.65,1.65,0,13
22,120,176,0,0.722656,0.361835,0.322825,0.163428,0.61,1.81,0,14
23,118,176,0,0.722656,0.236062,0.211474,0.104900,0.65,1.96,0,15
24,119,176,0,0.722656,0.371690,0.332670,0.165784,0.59,1.75,0,14
25,115,176,0,0.722656,0.294242,0.245790,0.161758,0.65,1.90,0,15
26,127,176,0,0.722656,0.284387,0.251183,0.133353,0.53,1.69,0,15
27,129,176,0,0.722656,0.225436,0.199807,0.104397,0.44,1.38,0,15
28,121,176,0,0.722656,0.652969,0.566422,0.324862,0.43,0.95,0,7
29,120,176,0,0.722656,0.313023,0.282971,0.133832,0.48,1.10,0,8
30,125,176,0,0.722656,0.242901,0.216738,0.109662,0.47,1.20,0,9
31,119,176,0,0.722656,0.363198,0.328413,0.155105,0.48,1.29,0,10
32,122,176,0,0.722656,0.302147,0.269060,0.137475,0.54,1.46,0,11
33,121,176,0,0.722656,0.287872,0.255834,0.131981,0.56,1.60,0,12
34,124,176,0,0.722656,0.379562,0.345734,0.156638,0.57,1.74,0,13
35,126,176,0,0.722656,0.402555,0.356992,0.186030,0.56,1.86,0,14
36,100,176,0,0.722656,0.753526,0.714489,0.239391,0.77,2.01,0,15
37,130,176,0,0.722656,0.395342,0.343393,0.195900,0.44,1.39,0,14
38,117,176,0,0.722656,0.245118,0.215748,0.116343,0.53,1.50,0,15
39,124,176,0,0.722656,0.530608,0.461282,0.262229,0.43,1.12,0,12
40,127,176,0,0.722656,0.296556,0.267340,0.128356,0.45,1.24,0,13
41,126,176,0,0.722656,0.404021,0.356080,0.190893,0.46,1.34,0,14
42,126,176,0,0.722656,0.571570,0.511125,0.255820,0.47,1.45,0,15
43,120,176,0,0.722656,0.266044,0.238532,0.117821,0.44,1.05,0,9
44,142,176,0,0.718750,0.357667,0.324788,0.149796,0.32,1.13,0,10
45,112,176,0,0.722656,0.429840,0.372469,0.214544,0.53,1.27,0,11
46,134,176,0,0.722656,0.294762,0.269862,0.118571,0.44,1.40,0,12
47,119,176,0,0.722656,0.420475,0.366036,0.206923,0.53,1.53,0,13
48,116,176,0,0.722656,0.240463,0.214451,0.108782,0.60,1.67,0,14
49,123,176,0,0.722656,0.577977,0.502428,0.285700,0.58,1.81,0,15
50,124,176,0,0.722656,0.217151,0.190422,0.104375,0.52,1.56,0,15
51,119,176,0,0.722656,0.358131,0.314582,0.171160,0.47,1.19,0,12
52,121,176,0,0.722656,0.399267,0.345975,0.199286,0.45,1.27,0,13
53,121,176,0,0.722656,0.313558,0.285554,0.129528,0.47,1.37,0,14
54,115,176,0,0.722656,0.400545,0.342353,0.207920,0.53,1.47,0,15
55,127,176,0,0.718750,0.357080,0.319874,0.158703,0.40,1.08,0,12
56,123,176,0,0.722656,0.290589,0.258997,0.131769,0.42,1.14,0,13
57,118,176,0,0.722656,0.244674,0.217890,0.111307,0.48,1.26,0,14
58,118,176,0,0.722656,0.270247,0.242310,0.119664,0.50,1.37,0,15
59,118,176,0,0.722656,0.481497,0.435995,0.204324,0.41,0.86,0,7
60,114,176,0,0.722656,0.550008,0.498402,0.232605,0.48,1.00,0,8
61,129,176,0,0.722656,0.355666,0.319907,0.155428,0.39,1.07,0,9
62,118,176,0,0.722656,0.286577,0.254576,0.131596,0.50,1.21,0,10
63,135,176,0,0.722656,0.310517,0.280677,0.132819,0.41,1.31,0,11
64,106,176,0,0.722656,0.264952,0.238916,0.114537,0.61,1.45,0,12
65,123,176,0,0.722656,0.560431,0.490914,0.270344,0.54,1.59,0,13
